date,latitude,longitude,rainfall_mm,max_temperature_c,completeness_score,anomaly_score,year,risk
2025,34.75,77.0,18.43721389770508,28.81805419921875,1.0,7.281036376953125,2025,HIGH
2025,33.75,76.75,8.909526824951172,28.555273056030277,1.0,5.149227142333984,2025,HIGH
2025,33.75,77.0,2.6784963607788086,28.555273056030277,1.0,-5.392465591430664,2025,HIGH
2025,19.75,90.5,10.68043613433838,30.60263442993164,1.0,-5.288936614990234,2025,HIGH
2025,19.75,90.75,14.23930549621582,30.60263442993164,1.0,-9.944141387939451,2025,HIGH
2025,19.75,91.0,20.44676971435547,30.60263442993164,1.0,-7.40070915222168,2025,HIGH
2025,19.75,91.25,21.90656089782715,30.60263442993164,1.0,-8.391130447387695,2025,HIGH
2025,19.75,91.5,16.589584350585938,30.60263442993164,1.0,-10.24139404296875,2025,EXTREME
2025,19.75,91.75,8.071321487426758,29.198945999145508,1.0,-7.522225379943848,2025,HIGH
2025,19.5,90.75,9.539024353027344,30.60263442993164,1.0,-11.494356155395508,2025,EXTREME
2025,19.5,91.0,11.1721830368042,30.60263442993164,1.0,-10.365988731384276,2025,EXTREME
2025,19.5,91.25,14.329947471618652,30.60263442993164,1.0,-7.9620771408081055,2025,HIGH
2025,18.25,90.75,4.627009391784668,27.61519241333008,1.0,-5.20366096496582,2025,HIGH
